Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,1999,10828,279040181,3.88,3.822591272
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2000,10801,281421906,3.84,3.787163348
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2001,11348,284968955,3.98,3.93253428
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2002,11829,287625193,4.11,4.068085842
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2003,11920,290107933,4.11,4.069227374
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2004,11624,292805298,3.97,3.938707823
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2005,12352,295516599,4.18,4.165910895
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2006,12791,298379912,4.29,4.273604276
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2007,12632,301231207,4.19,4.204103189
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2008,12179,304093966,4.01,4.029036079
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2009,11493,306771529,3.75,3.777863605
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2010,11078,308745538,3.59,3.621282504
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2011,11068,311721632,3.55,3.591490031
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2012,11622,314112078,3.7,3.754778264
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2013,11208,316497531,3.54,3.598883799
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,2014,10945,318857056,3.43,3.504090037
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Homicide Firearm,X,185718,4791896514,3.88,.
