Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,1999,16599,279040181,5.95,5.963515068
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2000,16586,281421906,5.89,5.903048235
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2001,16869,284968955,5.92,5.904599253
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2002,17108,287625193,5.95,5.915756834
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2003,16907,290107933,5.83,5.770637382
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2004,16750,292805298,5.72,5.647095397
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2005,17002,295516599,5.75,5.655766502
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2006,16883,298379912,5.66,5.539856206
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2007,17352,301231207,5.76,5.625321386
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2008,18223,304093966,5.99,5.815118121
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2009,18735,306771529,6.11,5.90956224
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2010,19392,308745538,6.28,6.05992241
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2011,19990,311721632,6.41,6.154797904
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2012,20666,314112078,6.58,6.285109398
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2013,21175,316497531,6.69,6.370351981
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,2014,21334,318857056,6.69,6.335450455
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Firearm,X,291571,4791896514,6.08,.
