_,ST,StateFIPS,Deaths,Population,U_A_Rate,U_C_Rate,_,,,,,,,,,,,,ST,StateFIPS,Deaths,Population,U_A_Rate,U_C_Rate
,,,,,,,,,,,,,,,,,,2,WY,56,495,3750326,12.98808732,13.19885258
"2004-2010, United States",,,,,,,,,,,,,,,,,,6,WV,54,1324,12839973,9.725014169,10.31154816
"Age-adjusted Death Rates per 100,000 Population",,,,,,,,,,,,,,,,,,33,WI,55,2314,39245868,5.7446526,5.896162113
"Firearm, Suicide, All Races, All Ethnicities, Both Sexes, All Ages",,,,,,,,,,,,,,,,,,31,WA,53,3004,45222487,6.481220289,6.642712949
Annualized Age-adjusted Rate for United States: 5.76,,,,,,,,,,,,,,,,,,21,VT,50,347,4362217,7.407121685,7.954670756
,,,,,,,,,,,,,,,,,,30,VA,51,3618,54237862,6.497563041,6.670616921
,,,,,,,,,,,,,,,,,,14,UT,49,1447,18132887,8.765772219,7.979975831
Reports for All Ages include those of unknown age.,,,,,,,,,,,,,,,,,,32,TX,48,10212,166620070,6.384445065,6.128913522
* Rates based on 20 or fewer deaths may be unstable.  States with these rates are cross-hatched in the map (see legend above). Such rates have an asterisk.,,,,,,,,,,,,,,,,,,12,TN,47,3960,43065894,8.92712614,9.195211413
"The standard population for age-adjustment represents the year 2000, all races, both sexes.",,,,,,,,,,,,,,,,,,18,SD,46,441,5540916,7.846427434,7.958972849
m4960823 created 06OCT15:13:23     downloaded 24MAR16:11:35,,,,,,,,,,,,,,,,,,20,SC,45,2380,31027260,7.429808758,7.67067411
,,,,,,,,,,,,,,,,,,46,RI,44,185,7424122,2.345063455,2.491877154
"Types of Rates:    U_A_Rate = Unsmoothed, Age-adjusted Rate.    U_C_Rate = Unsmoothed, Crude Rate.",,,,,,,,,,,,,,,,,,34,PA,42,5300,87916980,5.703529372,6.028414534
,,,,,,,,,,,,,,,,,,16,OR,41,2292,25984387,8.349874904,8.820681435
,,,,,,,,,,,,,,,,,,10,OK,40,2328,25440168,9.019975566,9.150882966
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC",,,,,,,,,,,,,,,,,,37,OH,39,4608,80478043,5.530148211,5.725785355
Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.,,,,,,,,,,,,,,,,,,47,NY,36,3020,134438747,2.146650332,2.246376188
,,,,,,,,,,,,,,,,,,5,NV,32,1911,17940941,10.65663487,10.65161521
,,,,,,,,,,,,,,,,,,7,NM,35,1347,13894932,9.602856059,9.694182023
,,,,,,,,,,,,,,,,,,49,NJ,34,1194,60884685,1.863129139,1.961084302
,ST,StateFIPS,Deaths,Population,U_A_Rate,U_C_Rate,,,,,,,,,,,,35,NH,33,545,9158020,5.624930303,5.951068026
