,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALL,,,,,DROWNING,,,,,OTHER,,,,,FIREARM ,,,,,CUT /KNIFE,,,,,POISON/DRUG,,,
Year,Deaths,Total Suicides,% of all suicides,,Year,Deaths,Total Suicides,% of all suicides,,Year,Deaths from listed,Total Suicides,Total-unaccounted for,% of all suicides,Year,Deaths,Total Suicides,% of all suicides,,Year,Deaths,Total Suicides,% of all suicides,,Year,Deaths,Total Suicides,% of all suicides
1999,693,29199,0.237336895,,1999,311,29199,0.106510497,,1999,22900,29199,6299,2.15726566,1999,16599,29199,5.684783725,,1999,404,29199,0.138360903,,1999,4893,29199,1.67574232
2000,607,29350,0.20681431,,2000,321,29350,0.109369676,,2000,22756,29350,6594,2.246678024,2000,16586,29350,5.651107325,,2000,383,29350,0.130494037,,2000,4859,29350,1.655536627
2001,651,30622,0.212592254,,2001,339,30622,0.110704722,,2001,23508,30622,7114,2.323166351,2001,16869,30622,5.508784534,,2001,458,30622,0.149565672,,2001,5191,30622,1.695186467
2002,740,31655,0.233770336,,2002,368,31655,0.116253356,,2002,24268,31655,7387,2.333596588,2002,17108,31655,5.404517454,,2002,566,31655,0.178802717,,2002,5486,31655,1.733059548
2003,723,31484,0.229640452,,2003,339,31484,0.107673739,,2003,24002,31484,7482,2.376445179,2003,16907,31484,5.370029221,,2003,571,31484,0.181361962,,2003,5462,31484,1.734849447
2004,676,32439,0.208391134,,2004,365,32439,0.112518882,,2004,24181,32439,8258,2.545701162,2004,16750,32439,5.163537717,,2004,590,32439,0.181879836,,2004,5800,32439,1.787971269
2005,683,32637,0.209271686,,2005,375,32637,0.114900267,,2005,24394,32637,8243,2.52566106,2005,17002,32637,5.209424886,,2005,590,32637,0.180776419,,2005,5744,32637,1.759965683
2006,725,33300,0.217717718,,2006,402,33300,0.120720721,,2006,24717,33300,8583,2.577477477,2006,16883,33300,5.06996997,,2006,598,33300,0.17957958,,2006,6109,33300,1.834534535
2007,731,34598,0.211283889,,2007,358,34598,0.103474189,,2007,25418,34598,9180,2.653332563,2007,17352,34598,5.015318805,,2007,619,34598,0.178912076,,2007,6358,34598,1.837678479
2008,709,36035,0.196753157,,2008,407,36035,0.112945747,,2008,26447,36035,9588,2.660746496,2008,18223,36035,5.05702789,,2008,666,36035,0.184820314,,2008,6442,36035,1.787706397
2009,685,36909,0.18559159,,2009,389,36909,0.105394348,,2009,26876,36909,10033,2.718307188,2009,18735,36909,5.075997724,,2009,669,36909,0.181256604,,2009,6398,36909,1.733452545
2010,781,38364,0.203576269,,2010,409,38364,0.106610364,,2010,27854,38364,10510,2.739547492,2010,19392,38364,5.054738818,,2010,673,38364,0.175424877,,2010,6599,38364,1.720102179
2011,807,39518,0.204210739,,2011,354,39518,0.089579432,,2011,28375,39518,11143,2.819727719,2011,19990,39518,5.058454375,,2011,660,39518,0.167012501,,2011,6564,39518,1.661015234
2012,951,40600,0.234236453,,2012,432,40600,0.106403941,,2012,29508,40600,11092,2.732019704,2012,20666,40600,5.090147783,,2012,730,40600,0.179802956,,2012,6729,40600,1.657389163
2013,976,41149,0.237186809,,2013,397,41149,0.096478651,,2013,29968,41149,11181,2.717198474,2013,21175,41149,5.145933072,,2013,783,41149,0.19028409,,2013,6637,41149,1.612918904
2014,994,42773,0.232389592,,2014,372,42773,0.086970753,,2014,30248,42773,12525,2.928249129,2014,21334,42773,4.987725902,,2014,740,42773,0.173006336,,2014,6808,42773,1.591658289
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
