Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,1999,404,279040181,0.14,0.145954492
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2000,383,281421906,0.14,0.136612571
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2001,458,284968955,0.16,0.160644024
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2002,566,287625193,0.2,0.19580661
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2003,571,290107933,0.2,0.194522855
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2004,590,292805298,0.2,0.197895094
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2005,590,295516599,0.2,0.196673932
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2006,598,298379912,0.2,0.195834477
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2007,619,301231207,0.21,0.197631276
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2008,666,304093966,0.22,0.211250094
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2009,669,306771529,0.22,0.209556041
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2010,673,308745538,0.22,0.208276041
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2011,660,311721632,0.21,0.201504537
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2012,730,314112078,0.23,0.218893074
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2013,783,316497531,0.25,0.232150999
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,2014,740,318857056,0.23,0.219199976
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Cut/pierce,X,9700,4791896514,0.2,.
