Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,1999,311,279040181,0.11,0.111137547
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2000,321,281421906,0.11,0.114545291
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2001,339,284968955,0.12,0.118613504
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2002,368,287625193,0.13,0.127346808
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2003,339,290107933,0.12,0.115414508
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2004,365,292805298,0.12,0.124077764
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2005,375,295516599,0.13,0.125002973
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2006,402,298379912,0.13,0.131003222
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2007,358,301231207,0.12,0.117125995
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2008,407,304093966,0.13,0.129480443
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2009,389,306771529,0.13,0.123477822
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2010,409,308745538,0.13,0.128617811
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2011,354,311721632,0.11,0.110238515
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2012,432,314112078,0.14,0.132471347
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2013,397,316497531,0.13,0.121266122
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,2014,372,318857056,0.12,0.113082601
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Drowning,X,5938,4791896514,0.12,.
