Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,1999,693,279040181,0.25,0.247899002
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2000,607,281421906,0.22,0.215442886
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2001,651,284968955,0.23,0.227493622
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2002,740,287625193,0.26,0.255597672
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2003,723,290107933,0.25,0.247346918
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2004,676,292805298,0.23,0.228567106
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2005,683,295516599,0.23,0.22888103
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2006,725,298379912,0.24,0.238117351
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2007,731,301231207,0.24,0.23872659
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2008,709,304093966,0.23,0.230337678
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2009,685,306771529,0.22,0.216465081
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2010,781,308745538,0.25,0.248044659
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2011,807,311721632,0.26,0.25314918
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2012,951,314112078,0.3,0.295019692
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2013,976,316497531,0.31,0.298976966
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,2014,994,318857056,0.31,0.301924526
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Fall,X,12132,4791896514,0.25,.
