Sex,Race,State,Ethnicity,Age Group,First Year,Last Year,Cause of Death,Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,1999,4893,279040181,1.75,1.762736519
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2000,4859,281421906,1.73,1.73142028
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2001,5191,284968955,1.82,1.817675907
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2002,5486,287625193,1.91,1.899269188
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2003,5462,290107933,1.88,1.870930882
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2004,5800,292805298,1.98,1.960153703
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2005,5744,295516599,1.94,1.915112379
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2006,6109,298379912,2.05,2.003076566
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2007,6358,301231207,2.11,2.053873021
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2008,6442,304093966,2.12,2.068802206
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2009,6398,306771529,2.09,2.02374302
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2010,6599,308745538,2.14,2.056335007
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2011,6564,311721632,2.11,2.024107157
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2012,6729,314112078,2.14,2.050777479
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2013,6637,316497531,2.1,1.997598981
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,2014,6808,318857056,2.14,2.045986991
Both Sexes,All Races,United States,Both,All Ages,1999,2014,Suicide Poisoning,X,96079,4791896514,2.01,.
